PMID,Title,Abstract,DOI
35193651,Application of a next-generation sequencing (NGS) panel in newborn screening efficiently identifies inborn disorders of neonates.,"Newborn screening (NBS) has been implemented for neonatal inborn disorders using various technology platforms, but false-positive and false-negative results are still common. In addition, target diseases of NBS are limited by suitable biomarkers. Here we sought to assess the feasibility of further improving the screening using next-generation sequencing technology. We designed a newborn genetic sequencing (NBGS) panel based on multiplex PCR and next generation sequencing to analyze 134 genes of 74 inborn disorders, that were validated in 287 samples with previously known mutations. A retrospective cohort of 4986 newborns was analyzed and compared with the biochemical results to evaluate the performance of this panel. The accuracy of the panel was 99.65% with all samples, and 154 mutations from 287 samples were 100% detected. In 4986 newborns, a total of 113 newborns were detected with biallelic or hemizygous mutations, of which 36 newborns were positive for the same disorder by both NBGS and conventional NBS (C-NBS) and 77 individuals were NBGS positive/C-NBS negative. Importantly, 4 of the 77 newborns were diagnosed currently including 1 newborn with methylmalonic acidemia, 1 newborn with primary systemic carnitine deficiency and 2 newborns with Wilson's disease. A total of 1326 newborns were found to be carriers with an overall carrier rate of 26.6%. Analysis based on next generation sequencing could effectively identify neonates affected with more congenital disorders. Combined with C-NBS, this approach may improve the early and accurate identification of neonates with inborn disorders. Our study lays the foundation for prospective studies and for implementing NGS-based analysis in NBS.",10.1186/s13023-022-02231-x
35188912,Case Study of an Elderly Patient With New Onset Weakness.,"We present a patient presented with new onset progressive proximal weakness. On examination noted to have proximal weakness on upper and lower limbs, with preserved reflexes, without sensory involvement. Blood work revealed to have elevated creatine kinase. On electromyography testing shows myopathic features and also noted to have myotonic discharges. Muscle biopsy was obtained next which showed many vacuolization, marked increase in all fat content noted. These findings led us to checking carnitine levels which were noted to be significantly reduced with elevated carnitine palmitoyltransferase levels. These findings highly suggestive of systemic carnitine deficiency. Secondary causes of systemic Carnitine deficiency not identified in this patient and presumed to have primary systemic carnitine deficiency. Patient improved on oral supplementation of L- Carnitine.",10.1097/CND.0000000000000381
35118545,Evaluation of the relationship between serum carnitine levels and intradialytic complications in children with kidney failure.,"Carnitine plays a crucial role in the metabolism of fatty acids as well as energy production. Previous research has suggested a significant decrease in carnitine levels in patients with kidney failure and those undergoing hemodialysis. Therefore, we designed this study to assess the prevalence and characteristics of carnitine deficiency and its association with hemodialysis complications in the pediatric population. This research was a pilot study of 29 children undergoing hemodialysis. Before hemodialysis, a 5-mL blood sample was drawn from each patient through a peripheral vein to measure serum-free carnitine levels, complete blood count with differential, blood urea nitrogen (BUN), creatinine, and electrolytes. Each patient was observed for intradialytic complications, including muscle cramps and hypotension, during 12 sessions of hemodialysis. We included 26 participants with a mean age of 14.23 years undergoing hemodialysis. Carnitine deficiency was revealed in 54.8% of our participants. Also, there was no significant correlation between carnitine deficiency and age, gender, and BUN levels (P = 0.698, P = 0.43, and P > 0.05, respectively). Intradialytic complications, including episodes of hypotension and muscle cramps, were more frequent in patients with carnitine deficiency (P = 0.02, P = 0.01, respectively). Other reasons for muscle cramps, such as fluid overload, nutritional status, dialysis regimen, and other important lab results (phosphorus, magnesium, etc.), were ruled out. In conclusion, we found a higher prevalence of carnitine deficiency in pediatric hemodialysis patients. Carnitine deficiency was significantly associated with increased intradialytic symptoms, including muscle spasms and hypotension. Our results could support a potential role of carnitine supplementation in pediatric patients with kidney failure for controlling intradialytic complications, but this requires further investigation. A higher resolution version of the Graphical abstract is available as Supplementary information.",10.1007/s00467-022-05449-w
35057527,Association between Levocarnitine Treatment and the Change in Knee Extensor Strength in Patients Undergoing Hemodialysis: A Post-Hoc Analysis of the Osaka Dialysis Complication Study (ODCS).,"Carnitine deficiency is prevalent in patients undergoing hemodialysis, and it could result in lowered muscle strength. So far, the effect of treatment with levocarnitine on lower limb muscle strength has not been well described. This observational study examined the association between treatment with levocarnitine with the change in knee extensor strength (KES) in hemodialysis patients. Eligible patients were selected from the participants enrolled in a prospective cohort study for whom muscle strength was measured annually. We identified 104 eligible patients for this analysis. During the one-year period between 2014 to 2015, 67 patients were treated with intravenous levocarnitine (1000 mg per shot, thrice weekly), whereas 37 patients were not. The change in KES was significantly higher (p = 0.01) in the carnitine group [0.02 (0.01-0.04) kgf/kg] as compared to the non-carnitine group [-0.02 (-0.04 to 0.01) kgf/kg]. Multivariable-adjusted regression analysis showed the positive association between the change in KES and the treatment with levocarnitine remained significant after adjustment for the baseline KES and other potential confounders. Thus, treatment with intravenous levocarnitine was independently and positively associated with the change in KES among hemodialysis patients. Further clinical trials are needed to provide more solid evidence.",10.3390/nu14020343
34997761,Clinical characteristics of primary carnitine deficiency: A structured review using a case-by-case approach.,"A broad spectrum of signs and symptoms has been attributed to primary carnitine deficiency (PCD) since its first description in 1973. Advances in diagnostic procedures have improved diagnostic accuracy and the introduction of PCD in newborn screening (NBS) programs has led to the identification of an increasing number of PCD patients, including mothers of screened newborns, who may show a different phenotype compared to clinically diagnosed patients. To elucidate the spectrum of signs and symptoms in PCD patients, we performed a structured literature review. Using a case-by-case approach, clinical characteristics, diagnostic data, and mode of patient identification were recorded. Signs and symptoms were categorized by organ involvement. In total, 166 articles were included, reporting data on 757 individual patients. In almost 20% (N = 136) of the cases, the diagnosis was based solely on low carnitine concentration which we considered an uncertain diagnosis of PCD. The remaining 621 cases had a diagnosis based on genetic and/or functional (ie, carnitine transporter activity) test results. In these 621 cases, cardiac symptoms (predominantly cardiomyopathy) were the most prevalent (23.8%). Neurological (7.1%), hepatic (8.4%), and metabolic (9.2%) symptoms occurred mainly in early childhood. Adult onset of symptoms occurred in 16 of 194 adult patients, of whom 6 (3.1%) patients suffered a severe event without any preceding symptom (five cardiac events and one coma). In conclusion, symptoms in PCD predominantly develop in early childhood. Most newborns and mothers of newborns detected through NBS remain asymptomatic. However, though rarely, severe complications do occur in both groups.",10.1002/jimd.12475
34863234,Biochemical and genetic characteristics of patients with primary carnitine deficiency identified through newborn screening.,"Primary carnitine deficiency (PCD) is an autosomal recessive disorder of carnitine transportation that leads to impaired fatty acid oxidation. Large-scale studies on newborn screening (NBS) for PCD are limited. This study aimed to investigate the biochemical and genetic characteristics of patients with PCD detected through NBS. A total of 548 247 newborns were screened for PCD between January 2014 and June 2021; 1714 newborns with low free carnitine (C0) levels were called back and 49 patients were diagnosed with PCD. The latest incidence rate in Quanzhou, China, was estimated to be 1 in 11 189 newborns. NBS results showed that the 49 patients had varying degrees of decreased C0 levels, whereas seven patients exhibited normal C0 levels during the recall review. All patients harbored biallelic pathogenic variants of the SLC22A5 gene. Nineteen distinct SLC22A5 variants were detected in these 49 patients, and most of the detected variants were clustered in exons 1, 4, and 7. The top eight variants had an allele frequency of 86.73%. The most common variant was c.760C > T (p.R254*) with an allele frequency of 31.63%, followed by c.51C > G (p.F17L) (17.35%) and c.1400C > G (p.S467C) (16.33%). The C0 level of patients with the N/N genotype was significantly lower than that of the M/M group. The C0 levels of patients with genotypes of R254*/R254* and R254*/F17L were far lower than those of patients with the R254*/S467C genotype. This study presented more than 500,000 NBS data with the latest incidence of 1:11 189 in the Quanzhou area. The SLC22A5 variant spectrum in the selected southern Chinese population has been updated. Patients with null variants were associated with low C0 levels. Combining NBS with genetic testing is critical to improve screening efficiency because patients with PCD may have normal C0 levels during NBS and recall review.",10.1186/s13023-021-02126-3
34839292,Relationship between Carnitine Deficiency and Tyrosine Kinase Inhibitor Use in Patients with Chronic Myeloid Leukemia.,"Some chemotherapeutic agents cause carnitine deficiency, which causes general fatigue. However, there is no study on carnitine deficiency in patients with chronic myeloid leukemia (CML) during tyrosine kinase inhibitor (TKI) therapy. In this study, we investigated carnitine concentrations in patients with CML receiving TKI therapy. This study included patients with well-controlled CML. Total carnitine and free carnitine concentrations were evaluated using the enzyme cycling method. The brief fatigue inventory (BFI) and cancer fatigue scale (CFS) were used to assess general fatigue developed during TKI therapy. Fifty-five patients on TKI therapy were included. Of these, 12 (21.8%) patients had low free carnitine concentrations. Free carnitine concentrations were higher in men than in women. Younger age was closely associated with lower free carnitine concentrations. TKI type, TKI dose, treatment response, or therapy duration were not associated with free carnitine concentrations. None of the scores (the global fatigue score with the BFI and CFS score) correlated with carnitine concentrations. Concentrations of free carnitine in patients in the treatment-free remission group were slightly higher than those in the TKI group, with only 9.1% having a low concentration of free carnitine. Carnitine deficiency is probably not a major cause of general fatigue but may occur in patients with CML receiving TKI therapy.",10.1159/000521113
34729741,[Analysis of metabolic profile and genetic variants for newborns with primary carnitine deficiency from Guangxi].,"To analyze the metabolic profile and genetic variants for newborns with primary carnitine deficiency (PCD) from Guangxi, China. From January 2014 to December 2019, 400 575 newborns from the jurisdiction of Guangxi Zhuang Autonomous Region Newborn Screening Center were subjected to tandem mass spectrometry (MS/MS) analysis. Newborns with positive results for PCD and their mothers were recalled for retesting. Those who were still positive were subjected to sequencing of the SLC22A5 gene. Twenty-two newborns and 9 mothers were diagnosed with PCD, which gave a prevalence rate of 1/18 208. Sequencing of 18 newborns and 4 mothers have identified 14 types of SLC22A5 gene variants, with the common ones including c.51C>G (10/44, 22.7%), c.1195C>T (9/44, 20.5%) and c.1400C>G (7/44, 15.9%), The c.517delC(p.L173Cfs*3) and c.1031C>T(p.T344I) were unreported previously and predicted to be pathogenic (PVS1+PM2_supporting+PM3+PP4) and likely pathogenic (PM1+PM2_supporting+PM3+PP3+PP4) based on the American College of Medical Genetics and Genomics standards and guidelines. c.51C>G, c.1195C>T and c.1400C>G are the most common variants underlying PCD in Guangxi.",10.3760/cma.j.cn511374-20200805-00586
34637945,3-Methylglutaconic aciduria in carriers of primary carnitine deficiency.,"The etiology of secondary 3-methylglutaconic aciduria (3-MGA-uria) is not well understood although is thought to be a marker of mitochondrial dysfunction. For this reason, suspicion for a secondary 3-MGA-uria often leads to an extensive clinical and laboratory work-up for mitochondrial disease, although in many cases evidence for mitochondrial dysfunction is never found. 3-methylglutaconic aciduria in healthy individuals without known metabolic disease has not been well described. Here, we describe clinical and biochemical features of 23 individuals evaluated at the Greenwood Genetic Center for low plasma free carnitine reported on newborn screening. Of the 23 individuals evaluated, four individuals were diagnosed with primary carnitine deficiency, 16 were identified as carriers for primary carnitine deficiency, and three individuals were determined to be unaffected non-carriers based on molecular and biochemical testing. Elevated 3-MGA (>20 mmol/mol of creatinine) was identified in nine carriers of primary carnitine deficiency, while all unaffected non carriers and all affected individuals with primary carnitine deficiency had a normal 3-MGA level (<20 mmol/mol of creatinine). Average 3-MGA among all carriers was 39.66 mmol/mol of creatinine. Average plasma free carnitine in among all carriers (n = 16) was 13.87 μm/L, and average plasma free carnitine was not significantly different between carriers with and those without elevated 3-MGA (p = 0.66). In summary, we describe elevated 3-MGA as a discriminatory feature in nine healthy carriers of primary carnitine deficiency. Our findings suggest that heterozygosity for pathogenic alterations on SLC22A5 should be considered in the differential for individuals with persistent 3-MGA-uria of unclear etiology.",10.1016/j.ejmg.2021.104365
34559155,General anesthesia with cisatracurium and sevoflurane for a patient with primary carnitine deficiency receiving L-carnitine therapy: A case report.,"Lipid storage myopathies (LSMs) are a series of genetic disorders of lipid metabolism predominantly affecting muscle. The low incidence and lethal properties of this disease make anesthesia experience limited in such patients. Among all etiologies of LSMs, primary carnitine deficiency (PCD) is now considered highly treatable by early administration of L-carnitine, though it remains unclear whether L-carnitine is effective enough to protect diseased muscle against conventionally used neuromuscular blocking agents (NMBAs) during general anesthesia. Currently, no data are available concerning possible prolonged muscle weakness in these cases. This case presents a 43-year-old female who was diagnosed with a PCD-induced LSM 3 years ago due to fatigability and exertional myalgias and has been treated with L-carnitine ever since. At the time of this report, she was admitted for uterine fibroids and scheduled for selective open gynecologic surgery under general anesthesia. The patient's diagnosis of PCD-induced LSM was based on the clinical features, muscle biopsy, and diminished organic cation/carnitine transporter 2 (OCTN2) transporter activity in the patient's skin fibroblasts. L-carnitine was taken by the patient until the morning of surgery. General anesthesia with cisatracurium and sevoflurane was selected as the anesthetic plan during the operation. The train-of-four (TOF) test was adopted as additional monitoring, particularly to track the recovery of neuromuscular function. The patient was extubated successfully following a spontaneously restored TOF ratio (TOFR) of 0.9. Nonetheless, we recorded a prolonged efficacy of cisatracurium in the clinical duration and the recovery time with TOFRs of 0.7 and 0.9, respectively. The conventional dose of cisatracurium combined with a low dose of sevoflurane can be safely used in patients with LSMs without additional anesthetic risks. Meanwhile, continuous TOF monitoring is recommended to perform high-quality anesthesia.",10.1097/MD.0000000000027333
34437764,Altered mitochondrial metabolism in peripheral blood cells from patients with inborn errors of β-oxidation.,"Inborn errors of mitochondrial fatty acid oxidation (FAO), such as medium-chain acyl-CoA dehydrogenase deficiency (MCAD) and very long-chain acyl-CoA dehydrogenase deficiency (VLCAD) affects cellular function and whole-body metabolism. Carnitine uptake deficiency (CUD) disturbs the transportation of fatty acids into the mitochondria, but when treated is a mild disease without significant effects on FAO. For improved clinical care of VLCAD in particular, estimation of FAO severity could be important. We have investigated whether the oxygen consumption rate (OCR) of peripheral blood mononuclear cells (PBMCs) obtained from patients with MCAD, VLCAD, and CUD can be used to study cellular metabolism in patients with FAO defects and to determine the severity of FAO impairment. PBMCs were isolated from patients with VLCAD (n = 9), MCAD (n = 5-7), and CUD (n = 5). OCR was measured within 6-hours of venous puncture using the Seahorse XFe96. The PBMCs were exposed to glucose alone or with caprylic acid (C8:0) or palmitic acid (C16:0). OCR was significantly lower in cells from patients with β-oxidation deficiencies (MCAD and VLCAD) compared to CUD at basal conditions. When exposed to C16:0, OCR in VLCAD cells was unchanged, whereas OCR in MCAD cells increased but not to the levels observed in CUD. However, C8:0 did not increase OCR, as would be expected, in VLCAD cells. There was no clear relationship between clinical severity level and OCR. In patients with β-oxidation deficiencies, changes of mitochondrial respiration in PBMCs are detectable, which indicate that PBMCs have translational potential for studies of β-oxidation defects. However, further studies are warranted.",10.1111/cts.13133
34178604,Newborn screening for carnitine transporter defect in Bavaria and the long-term follow-up of the identified newborns and mothers: Assessing the benefit and possible harm based on 19 ½ years of experience.,"Carnitine transporter defect (CTD) is a potentially life-threatening disorder causing acute metabolic decompensation, cardiac arrhythmia, and cardiac and skeletal myopathies. CTD is included in many newborn screening (NBS) programs. The screening parameter free carnitine, however, is influenced by maternal conditions due to placental transfer. This study reviewed the NBS results for CTD as part of a pilot study in Bavaria, Germany, and the long-term follow-up of the identified patients treated in our center between January 1999 and June 2018. Among 1,816,000 Bavarian NBS samples, six newborns were diagnosed with CTD (incidence of 1:302,667; positive predictive value (PPV) of 1.63% from 2008 to 2018). In the 24 newborns presented to our center for confirmatory testing, we detected four newborns and six mothers with CTD, one newborn and three mothers in whom CTD was presumed but not genetically confirmed, and one mother with glutaric aciduria type I. In 11 newborns, no indication for an inborn error of metabolism was found. The newborns and mothers with CTD had no serious cardiac adverse events or relevant muscular symptoms at diagnosis and during treatment for up to 14 years. Three mothers were lost to follow-up. Revealing a lower incidence than expected, our data confirm that NBS for CTD most likely misses newborns with CTD. It rather produces high numbers of false-positives and a low PPV picking up asymptomatic mothers with a diagnosis of uncertain clinical significance. Our data add to the growing evidence that argues against an implementation of CTD in NBS programs.",10.1016/j.ymgmr.2021.100776
34155781,L-carnitine supplementation for muscle weakness and fatigue in children with neurofibromatosis type 1: A Phase 2a clinical trial.,"Reduced muscle tone, muscle weakness, and physical fatigue can impact considerably on quality of life for children with neurofibromatosis type 1 (NF1). Human muscle biopsies and mouse models of NF1 deficiency in muscle show intramyocellular lipid accumulation, and preclinical data have indicated that L-carnitine supplementation can ameliorate this phenotype. The aim of this study is to examine whether daily L-carnitine supplementation is safe and feasible, and will improve muscle strength and reduce fatigue in children with NF1. A 12-week Phase 2a trial was conducted using 1000 mg daily oral levocarnitine tartrate supplementation. Recruited children were between 8 and 12 years old with a clinical diagnosis of NF1, history of muscle weakness and fatigue, and naïve to L-carnitine. Primary outcomes were safety (self-reporting, biochemical testing) and compliance. Secondary outcomes included plasma acylcarnitine profiles, functional measures (muscle strength, long jump, handwriting speed, 6-minute-walk test [6MWT]), and parent-reported questionnaires (PedsQL™, CBCL/6-18). Six children completed the trial with no self-reported adverse events. Biochemical tests for kidney and liver function were normal, and the average compliance was 95%. Plasma acylcarnitine levels were low, but within a range not clinically linked to carnitine deficiency. For strength measures, there was a mean 53% increase in dorsiflexion strength (95% confidence interval [CI] 8.89-60.75; p = 0.02) and mean 66% increase in plantarflexion strength (95% CI 12.99-134.1; p = 0.03). In terms of muscle performance, there was a mean 10% increase in long jump distance (95% CI 2.97-16.03; p = 0.01) and 6MWT distance (95% CI 5.88-75.45; p = 0.03). Comparison with the 1000 Norms Project data showed a significant improvement in Z-score for all of these measures. Parent reports showed no negative impact on quality of life, and the perceived benefits led to the majority of individuals remaining on L-carnitine after the study. Twelve weeks of L-carnitine supplementation is safe and feasible in children with NF1, and a Phase 3 trial should confirm the efficacy of treatment.",10.1002/ajmg.a.62392
34032155,Maternal Primary Carnitine Deficiency and a Novel Solute Carrier Family 22 Member 5 (SLC22A5) Mutation.,"Primary carnitine deficiency (PCD) is a rare autosomal recessive disorder caused by loss of function mutations in the solute carrier family 22 member 5 (SLC22A5) gene that encodes a high-affinity sodium-ion-dependent organic cation transporter protein (OCTN2). Reduced carnitine transport results in diminished fatty acid oxidation in heart and skeletal muscle and carnitine wasting in urine. We present a case of PCD diagnosed in an adult female after a positive newborn screen (NBS) for PCD that was not confirmed on follow-up testing. The mother was referred for evaluation of persistent fatigue and possible hypothyroidism even though all measurements of thyroid-stimulating hormone were well within the range of 0.4 to 2.5 mIU/L expected for reproductive-age women. She was found to have unequivocally low levels of both total carnitine and carnitine esters, and genetic testing revealed compound heterozygosity for 2 SLC22A5 mutations. One mutation (c.34G>A [p.Gly12Ser]) is a known missense mutation with partial OCTN2 activity, but the other mutation (c.41G>A [p.Trp14Ter]) is previously unreported and results in a premature stop codon and truncated OCTN2. This case illustrates that some maternal inborn errors of metabolism can be identified by NBS and that maternal carnitine levels should be checked after a positive NBS test for PCD.",10.1177/23247096211019543
33757571,Increased detection of primary carnitine deficiency through second-tier newborn genetic screening.,"Newborn screening for primary carnitine deficiency (NBS) is commonly implemented worldwide; however, it has poor sensitivity. This study aimed to evaluate the feasibility of improving screening by including a second-tier genetic assay. An Agena iPLEX assay was developed to identify 17 common SLC22A5 mutations in Chinese populations and was applied in NBS as a second-tier screening. From January 2017 to December 2018, 204,777 newborns were screened for PCD using tandem mass spectrometry. A total of 316 (0.15%) residual NBS-positive specimens with low free carnitine (C0) levels were subjected to this second-tier screening. The screening identified 20 screen-positive newborns who harboured biallelic mutations in theSLC22A5 gene, 99 carriers with one mutation, and 197 screen-negative newborns with no mutations. Among the 99 carriers, four newborns were found to have a second disease-causing SLC22A5mutation by further genetic analysis. Among the 197 screen-negatives were four newborns with persistently low C0 levels, and further genetic analysis revealed that one newborn had two novel SLC22A5 pathogenic variants. In total, 25 newborns were diagnosed with PCD, for a positive predictive value of 7.91% (25/316). Based on these data, we estimate the incidence of PCD in Quanzhou is estimated to be 1:8191.Thirteen distinct SLC22A5 variants were identified, and the most common was c.760C > T, with an allelic frequency of 32% (16/50), followed by c.1400C > G (7/50, 14%), and c.51C > G (7/50, 14%). Data from this study revealed that 24% (6/25) of PCD cases would have been missed by conventional NBS. This high-throughput iPLEX assay is a powerful tool for PCD genotyping. The addition of this second-tier genetic screening to the current NBS program could identify missed PCD cases, thereby increasing PCD detection. However, further studies are needed to optimise the workflow of the new screening algorithm and to evaluate the cost-effectiveness of this screening approach.",10.1186/s13023-021-01785-6
33720849,Targeted Therapies for Metabolic Myopathies Related to Glycogen Storage and Lipid Metabolism: a Systematic Review and Steps Towards a 'Treatabolome'.,"Metabolic myopathies are a heterogenous group of muscle diseases typically characterized by exercise intolerance, myalgia and progressive muscle weakness. Effective treatments for some of these diseases are available, but while our understanding of the pathogenesis of metabolic myopathies related to glycogen storage, lipid metabolism and β-oxidation is well established, evidence linking treatments with the precise causative genetic defect is lacking. The objective of this study was to collate all published evidence on pharmacological therapies for the aforementioned metabolic myopathies and link this to the genetic mutation in a format amenable to databasing for further computational use in line with the principles of the ""treatabolome"" project. A systematic literature review was conducted to retrieve all levels of evidence examining the therapeutic efficacy of pharmacological treatments on metabolic myopathies related to glycogen storage and lipid metabolism. A key inclusion criterion was the availability of the genetic variant of the treated patients in order to link treatment outcome with the genetic defect. Of the 1,085 articles initially identified, 268 full-text articles were assessed for eligibility, of which 87 were carried over into the final data extraction. The most studied metabolic myopathies were Pompe disease (45 articles), multiple acyl-CoA dehydrogenase deficiency related to mutations in the ETFDH gene (15 articles) and systemic primary carnitine deficiency (8 articles). The most studied therapeutic management strategies for these diseases were enzyme replacement therapy, riboflavin, and carnitine supplementation, respectively. This systematic review provides evidence for treatments of metabolic myopathies linked with the genetic defect in a computationally accessible format suitable for databasing in the treatabolome system, which will enable clinicians to acquire evidence on appropriate therapeutic options for their patient at the time of diagnosis.",10.3233/JND-200621
33661167,Hypoglycemia Due to Acquired Carnitine Deficiency in a Pediatric Patient Receiving Chemotherapy.,"We describe a 21-month-old male with relapsed clear cell sarcoma of the kidney receiving enteral nutrition who experienced recurrent, ketotic hypoglycemia. During relapse therapy, he had recurrent hypoglycemia episodes, in the setting of hematochezia and diarrhea. Evaluation revealed low carnitine levels. He received supplementation with oral levocarnitine throughout the remainder of treatment, resulting in normalization of serum carnitine levels and no further hypoglycemia. We believe adverse effects of the chemotherapy on his single kidney and gastrointestinal insult resulted in hypoglycemia and carnitine deficiency. Our case highlights that carnitine deficiency should be considered when acute onset hypoglycemia without obvious cause occurs.",10.1097/MPH.0000000000002128
33560599,Gene spectrum and clinical traits of 10 patients with primary carnitine deficiency.,"Rare studies focused on the tandem mass spectrometry (MS/MS) findings for the primary carnitine deficiency (PCD) in the neonates in China mainland. In this study, we aim to analyze the gene mutation spectrum of PCD in Fujian Province in China mainland. Primary carnitine deficiency (PCD) samples used in this study were selected from 95,453 cases underwent neonatal screening between May 2015 and February 2020. SLC22A5 gene sequencing was performed on the neonates and their parents with C0 level of less than 8.8 μmol/L. Ten patients (male: 7; female: 3) were finally included in this study. Among these patients, nine were neonates, and one was maternal decline of C0 of less than 8.8 μmol/L. The maternal case showed two types of mutations of SLC22A5 including c.760C>T(p.R254*) and c.1400C>G(p.S467C). The other nine neonates showed compound mutations involving nine types in 18 sites, among which two mutations [i.e., c.37G>T(p.E13*) and c.694A>G(p.T232A)] were novel that had never been reported before. Bioinformatic analysis indicated that c.37G>T(p.E13*) was a pathogenic mutation, while the c.694A>G (p.T232A) was considered to be likely pathogenic. MS/MS screening on PCD contributed to the early diagnosis and screening. In addition, SLC22A5 gene mutation analysis contributed to the PCD screening.",10.1002/mgg3.1583
33470531,Effectiveness of monitoring free carnitine levels for L-carnitine supplementation in hemodialysis patients to maintain carnitine sufficiency and nutritional factors.,"We investigated the effectiveness of monitoring serum carnitine levels in hemodialysis patients receiving L-carnitine supplementation. One-hundred forty-five hemodialysis patients were divided into three groups. Group 1 consisted of patients (n = 30) who had been receiving supplementation before this study and then discontinued at the beginning. The remaining patients were divided into Group 2 (n = 13) and Group 3 (n = 102) based on their baseline free carnitine (FC) level, <20 or ≥ 20 μmol/L. Group 2 was started on supplementation, and Groups 1 and 3 were observed without any intervention for the first 6 months. FC was measured every 6 months in all three groups up to 18 months. All patients in whom FC was less than 20 μmol/L at 6 and 12 months were prescribed supplementation. After the first 6 months, the mean ± SD of FC changed from 262.5 ± 87.5 μmol/L at baseline to 70.8 ± 33.6 μmol/L (P < 0.001) in Group 1, from 17.4 ± 1.9 to 193.9 ± 43.3 μmol/L (P < 0.001) in Group 2, and from 49.2 ± 24.6 to 44.2 ± 19.8 μmol/L (P < 0.05) in Group 3. The acyl/free carnitine changed from 0.62 to 0.59 in Group 1 (P = 0.287), from 0.76 to 0.66 in Group 2 (P = 0.054) and from 0.57 to 0.60 in Group 3 (P < 0.05). Of the 145 patients, 126 continued follow-up for the full 18 months. FC remained in the normal range (36-74 μmol/L) within the 95% CI. FC was considered a strong predictor of carnitine deficiency after 6 months (AUC: 0.9146, cut-off value: 33.8 μmol/L). FC monitoring is essential for appropriate carnitine supplementation in hemodialysis patients.",10.1111/1744-9987.13621
33268576,Biochemical and genetic characteristics of 40 neonates with carnitine deficiency.,"Primary carnitine deficiency (PCD) is a rare fatty acid metabolism disorder that can cause neonatal death. This study aims to analyze carnitine levels and detect SLC22A5 gene in newborns with carnitine deficiency, to provide a basis for early diagnosis of PCD, and to explore the relationship between carnitine in blood and SLC22A5 genotype. A total of 40 neonates with low free carnitine (C0<10 μmol/L) in blood were the subjects of the study. SLC22A5 gene was detected by Sanger sequencing to analyze the value of carnitine, the results of gene test and their relationship. A total of 15 variants of SLC22A5 gene were detected, including 11 pathogenic or likely pathogenic variants and 4 variants of uncertain significance. There were 5 new mutations: c.288delG (p.G96fsX33), c.744_745insTCG (p.M258_L259insS), c.752A>G (p.Y251C), c.495 C>A (p.R165E), and c.1298T>C (p.M433T). We found 14 PCD patients including 2 homozygous mutations and 12 heterozygous mutations, 14 with 1 mutation, and 12 with no mutation among 40 children. The C0 concentration of children with SLC22A5 gene homozygous or complex heterozygous mutations was (4.95±1.62) μmol/L in the initial screening, and (3.90±1.33) μmol/L in the second screening. The C0 concentration of children with no mutation was (7.04±2.05) μmol/L in the initial screening, and (8.02±2.87) μmol/L in the second screening. There were significant differences between children with homozygous or compound heterozygous mutations and with no mutation in C0 concentration of the initial and the second screening (both P<0.05), as well as between children with truncated mutation and with untruncated mutation in C0 concentration of the initial screening (P=0.022). There are 5 new mutations which enriched the mutation spectrum of SLC22A5 gene. C0<5 μmol/L is highly correlated with SLC22A5 gene homozygous or compound heterozygous mutations. Children with truncated mutation may have lower C0 concentration than that with untruncated mutation in the initial screening. 目的: 原发性肉碱缺乏症(primary carnitine deficiency，PCD)是一种罕见的可致新生儿死亡的脂肪酸代谢紊乱性疾病。本研究对新生儿足跟血行串联质谱分析筛查出的肉碱缺乏儿，进一步行血肉碱水平分析及SLC22A5基因检测，为PCD的早期诊断提供依据，同时探索血肉碱水平与SLC22A5基因型的关系。方法: 收集新生儿血串联质谱筛查游离肉碱(free carnitine，C0)值<10 μmol/L的40例患儿为研究对象，用Sanger测序方法对PCD的致病基因SLC22A5基因进行检测，分析肉碱水平、基因检测结果及两者的关系。结果: 共检出SLC22A5基因变异15种(42个)，包括11种致病或可能致病变异和4种意义不明变异。发现c.288delG(p.G96fsX33)，c.744_745insTCG(p.M258_L259insS)，c.752A>G(p.Y251C)，c.495C>A(p.R165E)，c.1298T>C(p.M433T)5种新突变。在40例串联质谱初筛肉碱缺乏的患儿中，14例被确诊为PCD，包括SLC22A5基因纯合突变2例，复合杂合突变12例；14例检出1个SLC22A5基因突变；12例未检出SLC22A5基因突变。确诊为PCD的患儿初筛C0值为(4.95±1.62) μmol/L，复查C0值为(3.90±1.33) μmol/L；未检出突变的患儿初筛C0值为(7.04±2.05) μmol/L，复查C0值为(8.02±2.87) μmol/L，确诊为PCD的患儿与未检出突变患儿的初筛及复查C0值差异均有统计学意义(均P<0.05)；检出截短突变的患儿与未检出截短突变的患儿初筛C0值差异有统计学意义(P=0.022)。结论: 发现的5种新突变丰富了SLC22A5基因突变谱；新生儿足跟血串联质谱初筛C0值<5 μmol/L与SLC22A5基因纯合或复合杂合突变型具有更强的相关性；具有截短突变的患儿较不含截短突变患儿的C0值可能更低。.",10.11817/j.issn.1672-7347.2020.190241
